,unfreeze_top_num_layers,dropout_rate,learning_rate,training_loss,validation_loss,training_accuracy,validation_accuracy,best_epoch,best_val_accuracy,test_loss,test_acc
17,10,0.2,0.01,"[0.21770785748958588, 0.07377620041370392, 0.09074264019727707, 0.1250876933336258, 0.12195353955030441, 0.06041935458779335, 0.044517822563648224, 0.042755093425512314, 0.03937206417322159, 0.029575873166322708]","[0.5073026418685913, 0.4769713580608368, 1.0919359922409058, 0.6447919607162476, 0.4916590750217438, 0.43882301449775696, 0.7140992283821106, 0.538544774055481, 0.3322092592716217, 0.39878591895103455]","[0.9047619104385376, 0.9557822942733765, 0.9659863710403442, 0.9455782175064087, 0.9693877696990967, 0.9795918464660645, 0.9795918464660645, 0.9897959232330322, 0.9863945841789246, 0.9863945841789246]","[0.9285714030265808, 0.8571428656578064, 0.8928571343421936, 0.8928571343421936, 0.9047619104385376, 0.8690476417541504, 0.738095223903656, 0.8095238208770752, 0.8928571343421936, 0.8809523582458496]",0,0.9285714030265808,0.5505281686782837,0.8571428656578064
18,20,0.2,0.01,"[0.1753065139055252, 0.03557269647717476, 0.10870424658060074, 0.05319518223404884, 0.025577399879693985, 0.04220971465110779, 0.03426896035671234, 0.03222836181521416, 0.05295025557279587, 0.15746861696243286]","[0.3269857168197632, 0.6726021766662598, 0.5161383748054504, 0.40964457392692566, 0.5866571068763733, 0.5187023282051086, 0.6581236124038696, 0.5717934370040894, 0.6199002265930176, 0.4983308017253876]","[0.9319728016853333, 0.9863945841789246, 0.976190447807312, 0.9795918464660645, 0.9965986609458923, 0.9897959232330322, 0.9931972622871399, 0.9931972622871399, 0.9829931855201721, 0.9523809552192688]","[0.8928571343421936, 0.8571428656578064, 0.8809523582458496, 0.8690476417541504, 0.8928571343421936, 0.8928571343421936, 0.9047619104385376, 0.8690476417541504, 0.8452380895614624, 0.761904776096344]",6,0.9047619104385376,0.5523654818534851,0.8095238208770752
19,40,0.2,0.01,"[0.1997986137866974, 0.0642210841178894, 0.02494717948138714, 0.019624074921011925, 0.014982406981289387, 0.02104276977479458, 0.04415816813707352, 0.037119507789611816, 0.05507374554872513, 0.018797939643263817]","[0.3206208348274231, 0.45592185854911804, 0.7274248600006104, 0.531873881816864, 0.5348160266876221, 0.4881848394870758, 0.5195742845535278, 0.506040096282959, 0.40062594413757324, 0.43748706579208374]","[0.8979591727256775, 0.9693877696990967, 0.9931972622871399, 0.9931972622871399, 0.9931972622871399, 0.9897959232330322, 0.9931972622871399, 0.9897959232330322, 0.9863945841789246, 0.9897959232330322]","[0.9166666865348816, 0.9047619104385376, 0.8809523582458496, 0.8928571343421936, 0.8928571343421936, 0.9047619104385376, 0.8214285969734192, 0.8928571343421936, 0.9047619104385376, 0.9166666865348816]",0,0.9166666865348816,0.4543583393096924,0.9047619104385376
20,0,0.2,0.05,"[0.5877670049667358, 0.374618262052536, 0.2500060796737671, 0.1911981999874115, 0.20382308959960938, 0.24214579164981842, 0.3011567294597626, 0.3269147574901581, 0.23500660061836243, 0.18866924941539764]","[0.9435182213783264, 0.33069512248039246, 0.3190387189388275, 0.6265276670455933, 0.638798177242279, 1.0337281227111816, 0.6590588688850403, 0.3049705922603607, 0.5250756144523621, 1.1077381372451782]","[0.8231292366981506, 0.8775510191917419, 0.8911564350128174, 0.9115646481513977, 0.918367326259613, 0.9081632494926453, 0.8945578336715698, 0.9149659872055054, 0.9217687249183655, 0.9285714030265808]","[0.75, 0.8809523582458496, 0.8690476417541504, 0.8214285969734192, 0.8809523582458496, 0.8452380895614624, 0.75, 0.8571428656578064, 0.8690476417541504, 0.8452380895614624]",1,0.8809523582458496,0.4624900817871094,0.8571428656578064
21,10,0.2,0.05,"[0.4837598204612732, 0.294178307056427, 0.36367878317832947, 0.2966214418411255, 0.315365195274353, 0.25895655155181885, 0.14861786365509033, 0.22373194992542267, 0.22743551433086395, 0.2175106257200241]","[3.9768519401550293, 3.3163561820983887, 2.8880069255828857, 1.9198403358459473, 1.6186274290084839, 3.5225162506103516, 1.944065809249878, 1.8760677576065063, 3.159299612045288, 1.7799673080444336]","[0.884353756904602, 0.9115646481513977, 0.884353756904602, 0.8945578336715698, 0.8979591727256775, 0.9149659872055054, 0.942176878452301, 0.9047619104385376, 0.9217687249183655, 0.9251700639724731]","[0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752]",0,0.8095238208770752,1.2477712631225586,0.8809523582458496
22,20,0.2,0.05,"[0.2516177296638489, 0.6070910096168518, 0.5221830010414124, 0.2920261025428772, 0.21374765038490295, 0.10373633354902267, 0.09261633455753326, 0.08814218640327454, 0.17985005676746368, 0.29292964935302734]","[2.7399494647979736, 3.234086513519287, 2.4573934078216553, 4.889811992645264, 2.2401936054229736, 2.9718363285064697, 0.8483274579048157, 0.635455846786499, 0.5772322416305542, 0.46473848819732666]","[0.8911564350128174, 0.8639456033706665, 0.8775510191917419, 0.9115646481513977, 0.9217687249183655, 0.9625850319862366, 0.9625850319862366, 0.9795918464660645, 0.942176878452301, 0.8979591727256775]","[0.7976190447807312, 0.8214285969734192, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8333333134651184, 0.8333333134651184, 0.8452380895614624, 0.9047619104385376]",9,0.9047619104385376,0.500329852104187,0.8333333134651184
23,40,0.2,0.05,"[0.1933985948562622, 0.20602047443389893, 0.19364777207374573, 0.16067011654376984, 0.17571361362934113, 0.17361873388290405, 0.3781016767024994, 0.23924893140792847, 0.23137781023979187, 0.1089816465973854]","[0.6674911975860596, 0.9057586193084717, 1.5492675304412842, 0.6520541310310364, 0.9185185432434082, 2.440140724182129, 0.5967631936073303, 0.7351281046867371, 1.9354956150054932, 2.3340234756469727]","[0.9217687249183655, 0.9557822942733765, 0.9727891087532043, 0.9557822942733765, 0.9353741407394409, 0.9659863710403442, 0.9217687249183655, 0.9217687249183655, 0.9251700639724731, 0.9727891087532043]","[0.8928571343421936, 0.8928571343421936, 0.8690476417541504, 0.8928571343421936, 0.9166666865348816, 0.8452380895614624, 0.8690476417541504, 0.8333333134651184, 0.8095238208770752, 0.8333333134651184]",4,0.9166666865348816,1.8972418308258057,0.9285714030265808
24,0,0.4,0.001,"[0.554472804069519, 0.298980712890625, 0.1994616985321045, 0.15457451343536377, 0.12237473577260971, 0.09876900911331177, 0.08382568508386612, 0.07663372904062271, 0.08810355514287949, 0.05589182674884796]","[0.310656875371933, 0.3069746792316437, 0.30605241656303406, 0.28547540307044983, 0.2694742679595947, 0.23223234713077545, 0.21541687846183777, 0.19755089282989502, 0.2129010409116745, 0.21677836775779724]","[0.8299319744110107, 0.9489796161651611, 0.9693877696990967, 0.9591836929321289, 0.9795918464660645, 0.9863945841789246, 0.9829931855201721, 0.9863945841789246, 0.9829931855201721, 0.9897959232330322]","[0.8452380895614624, 0.8571428656578064, 0.8809523582458496, 0.8928571343421936, 0.8928571343421936, 0.9166666865348816, 0.9166666865348816, 0.9285714030265808, 0.9285714030265808, 0.9047619104385376]",7,0.9285714030265808,0.16294001042842865,0.9523809552192688
25,10,0.4,0.001,"[0.4639430046081543, 0.237544983625412, 0.15100470185279846, 0.09978543967008591, 0.07450895011425018, 0.05920270085334778, 0.053988970816135406, 0.047694504261016846, 0.04552273079752922, 0.03669453784823418]","[0.2857285141944885, 0.1931351274251938, 0.1591256558895111, 0.13908398151397705, 0.130158469080925, 0.1270209103822708, 0.12468142807483673, 0.12302103638648987, 0.1218089610338211, 0.12324131280183792]","[0.9285714030265808, 0.9727891087532043, 0.9863945841789246, 0.9863945841789246, 0.9863945841789246, 0.9897959232330322, 0.9897959232330322, 0.9931972622871399, 0.9931972622871399, 0.9897959232330322]","[0.9285714030265808, 0.9285714030265808, 0.9404761791229248, 0.9642857313156128, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248]",3,0.9642857313156128,0.19426102936267853,0.8571428656578064
26,20,0.4,0.001,"[0.4661425054073334, 0.2017698436975479, 0.12234462052583694, 0.0904543474316597, 0.06382962316274643, 0.05063185840845108, 0.05345750227570534, 0.045294973999261856, 0.038478270173072815, 0.03154124319553375]","[0.32927650213241577, 0.2133532464504242, 0.16919811069965363, 0.15273891389369965, 0.14475175738334656, 0.1402471959590912, 0.1343587189912796, 0.13154199719429016, 0.1316726803779602, 0.12854096293449402]","[0.942176878452301, 0.9897959232330322, 0.9795918464660645, 0.9829931855201721, 0.9931972622871399, 0.9931972622871399, 0.9863945841789246, 0.9965986609458923, 0.9931972622871399, 0.9965986609458923]","[0.9285714030265808, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248, 0.9523809552192688, 0.9523809552192688, 0.9523809552192688, 0.9523809552192688, 0.9404761791229248]",5,0.9523809552192688,0.24196140468120575,0.8809523582458496
27,40,0.4,0.001,"[0.36270126700401306, 0.14955978095531464, 0.09094691276550293, 0.06097351014614105, 0.04933549836277962, 0.04504897817969322, 0.04006797820329666, 0.03232773765921593, 0.021420439705252647, 0.023803051561117172]","[0.28043055534362793, 0.18795540928840637, 0.15565960109233856, 0.14128702878952026, 0.13872893154621124, 0.1410866379737854, 0.13871526718139648, 0.1374618113040924, 0.13440397381782532, 0.13258616626262665]","[0.9693877696990967, 0.9897959232330322, 0.9863945841789246, 0.9931972622871399, 0.9931972622871399, 0.9931972622871399, 0.9863945841789246, 0.9965986609458923, 0.9965986609458923, 0.9931972622871399]","[0.9285714030265808, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248]",1,0.9404761791229248,0.2450554221868515,0.9047619104385376
28,0,0.4,0.01,"[0.153874009847641, 0.01852123998105526, 0.026020755991339684, 0.024019572883844376, 0.007449308875948191, 0.02154909074306488, 0.006750117987394333, 0.004798263777047396, 0.010076679289340973, 0.0028527763206511736]","[0.15689577162265778, 0.21927474439144135, 0.2277112454175949, 0.24609006941318512, 0.26322227716445923, 0.26520687341690063, 0.23278267681598663, 0.24143703281879425, 0.2589022219181061, 0.28116917610168457]","[0.884353756904602, 0.9897959232330322, 0.9863945841789246, 0.9965986609458923, 1.0, 0.9931972622871399, 1.0, 1.0, 0.9965986609458923, 1.0]","[0.9523809552192688, 0.9285714030265808, 0.9404761791229248, 0.9166666865348816, 0.9166666865348816, 0.9285714030265808, 0.9285714030265808, 0.9404761791229248, 0.9404761791229248, 0.9404761791229248]",0,0.9523809552192688,0.43729671835899353,0.9047619104385376
29,10,0.4,0.01,"[0.12720942497253418, 0.004445450846105814, 0.0011842005187645555, 0.002102137543261051, 0.004261707421392202, 0.0018137734150514007, 0.006960305385291576, 0.06598731130361557, 0.005709891207516193, 0.00410105986520648]","[0.2598724663257599, 0.3081884980201721, 0.2971727252006531, 0.3477213978767395, 0.5017072558403015, 0.6180778741836548, 0.32051795721054077, 0.583983838558197, 0.7767632007598877, 0.7006409168243408]","[0.9625850319862366, 0.9965986609458923, 1.0, 1.0, 0.9965986609458923, 1.0, 0.9965986609458923, 0.9795918464660645, 1.0, 1.0]","[0.9285714030265808, 0.9166666865348816, 0.9285714030265808, 0.9285714030265808, 0.9285714030265808, 0.9047619104385376, 0.9523809552192688, 0.8809523582458496, 0.8571428656578064, 0.8809523582458496]",6,0.9523809552192688,0.32740700244903564,0.9285714030265808
30,20,0.4,0.01,"[0.12617722153663635, 0.006299569271504879, 0.0007956824847497046, 0.0008264759089797735, 0.0052358186803758144, 0.0006540933391079307, 0.0006378703401423991, 0.006036681588739157, 0.00981199275702238, 0.004018142819404602]","[0.7095534205436707, 0.7404115200042725, 0.49457621574401855, 0.4172171652317047, 0.24963811039924622, 0.2559329569339752, 0.25707367062568665, 0.7623192667961121, 0.623420000076294, 0.5763782858848572]","[0.9013605713844299, 1.0, 1.0, 1.0, 0.9965986609458923, 1.0, 1.0, 0.9965986609458923, 0.9965986609458923, 0.9965986609458923]","[0.8690476417541504, 0.8809523582458496, 0.9047619104385376, 0.9166666865348816, 0.9404761791229248, 0.9285714030265808, 0.9285714030265808, 0.8690476417541504, 0.8809523582458496, 0.9047619104385376]",4,0.9404761791229248,0.5568521022796631,0.9047619104385376
31,40,0.4,0.01,"[0.10985817015171051, 0.0024052648805081844, 0.0009400289854966104, 0.0012847651960328221, 0.0001897256588563323, 0.0012053363025188446, 0.0005044096033088863, 0.0242898128926754, 0.006692072376608849, 0.0364164337515831]","[0.4854896664619446, 0.34230735898017883, 0.23173688352108002, 0.2805492877960205, 0.36695387959480286, 0.4762369692325592, 0.40509334206581116, 0.8636561036109924, 0.5439669489860535, 0.7092277407646179]","[0.9727891087532043, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931972622871399, 1.0, 0.9897959232330322]","[0.9047619104385376, 0.9166666865348816, 0.9166666865348816, 0.9285714030265808, 0.9166666865348816, 0.9047619104385376, 0.9166666865348816, 0.8571428656578064, 0.9047619104385376, 0.8928571343421936]",3,0.9285714030265808,0.4411548376083374,0.9047619104385376
32,0,0.4,0.05,"[0.39546072483062744, 0.06386429816484451, 0.051832836121320724, 0.012427396140992641, 0.038841404020786285, 0.10384462028741837, 0.031833697110414505, 0.05714254826307297, 0.07871059328317642, 0.017870305106043816]","[1.7786881923675537, 2.326345205307007, 2.492678642272949, 1.512791633605957, 1.8508260250091553, 0.3010936379432678, 0.41207000613212585, 1.0912071466445923, 1.8307665586471558, 2.2483417987823486]","[0.9285714030265808, 0.9829931855201721, 0.9897959232330322, 0.9965986609458923, 0.9897959232330322, 0.9829931855201721, 0.9931972622871399, 0.9897959232330322, 0.976190447807312, 0.9897959232330322]","[0.75, 0.8214285969734192, 0.8214285969734192, 0.8571428656578064, 0.8452380895614624, 0.9523809552192688, 0.9404761791229248, 0.9166666865348816, 0.9166666865348816, 0.9166666865348816]",5,0.9523809552192688,0.9369081854820251,0.9285714030265808
33,10,0.4,0.05,"[0.1882118433713913, 0.21863321959972382, 0.6458223462104797, 0.32997411489486694, 0.12138989567756653, 0.04579278081655502, 0.06100202351808548, 0.10221885144710541, 0.06594293564558029, 0.0439242422580719]","[2.223297357559204, 3.2455430030822754, 2.22177791595459, 4.064316749572754, 2.9811670780181885, 2.0763421058654785, 5.003066062927246, 3.9188766479492188, 3.442931652069092, 1.891211748123169]","[0.8911564350128174, 0.9727891087532043, 0.9013605713844299, 0.9217687249183655, 0.9489796161651611, 0.9829931855201721, 0.9795918464660645, 0.9659863710403442, 0.9829931855201721, 0.976190447807312]","[0.8928571343421936, 0.8690476417541504, 0.9047619104385376, 0.8571428656578064, 0.8333333134651184, 0.8333333134651184, 0.8214285969734192, 0.8333333134651184, 0.8095238208770752, 0.8690476417541504]",2,0.9047619104385376,0.8658088445663452,0.9047619104385376
34,20,0.4,0.05,"[0.12972421944141388, 0.23965007066726685, 0.15886206924915314, 0.22315825521945953, 0.066193126142025, 0.04579130932688713, 0.024344798177480698, 0.009827847592532635, 0.014731225557625294, 0.09451033174991608]","[4.260087490081787, 7.998332500457764, 1.4828639030456543, 1.6012083292007446, 2.005685806274414, 1.2190884351730347, 1.074174165725708, 1.2633577585220337, 0.6405630707740784, 1.8641960620880127]","[0.9081632494926453, 0.9659863710403442, 0.9659863710403442, 0.9489796161651611, 0.9727891087532043, 0.9795918464660645, 0.9863945841789246, 0.9965986609458923, 0.9931972622871399, 0.9659863710403442]","[0.8333333134651184, 0.8095238208770752, 0.8333333134651184, 0.7857142686843872, 0.8214285969734192, 0.8095238208770752, 0.8571428656578064, 0.8809523582458496, 0.9166666865348816, 0.8928571343421936]",8,0.9166666865348816,1.6847699880599976,0.9285714030265808
35,40,0.4,0.05,"[0.10251559317111969, 0.19125306606292725, 0.1854008436203003, 0.1367219239473343, 0.0650193840265274, 0.05075543373823166, 0.021108809858560562, 0.01857895776629448, 0.011986104771494865, 0.03897008299827576]","[6.804662704467773, 1.7737386226654053, 2.111778736114502, 0.864578127861023, 1.8335164785385132, 1.7884047031402588, 1.487213134765625, 1.013482689857483, 0.9212436676025391, 0.7995818853378296]","[0.976190447807312, 0.9795918464660645, 0.9591836929321289, 0.976190447807312, 0.9727891087532043, 0.9829931855201721, 0.9897959232330322, 0.9931972622871399, 0.9931972622871399, 0.9863945841789246]","[0.8095238208770752, 0.8333333134651184, 0.8571428656578064, 0.9166666865348816, 0.8690476417541504, 0.9285714030265808, 0.9285714030265808, 0.9404761791229248, 0.9166666865348816, 0.9285714030265808]",7,0.9404761791229248,0.7317166924476624,0.9047619104385376
